inicio_vigencia,zona,salario_minimo_general
01/01/1992,a,13.33
01/01/1992,b,12.32
01/01/1992,c,11.115
01/01/1993,a,14.27
01/01/1993,b,13.26
01/01/1993,c,12.05
01/01/1994,a,15.27
01/01/1994,b,14.19
01/01/1994,c,12.89
01/01/1995,a,16.34
01/01/1995,b,15.18
01/01/1995,c,13.79
04/12/1995,a,20.15
04/12/1995,b,18.7
04/12/1995,c,17
01/04/1996,a,22.6
01/04/1996,b,20.95
01/04/1996,c,19.05
03/12/1996,a,26.45
03/12/1996,b,24.5
03/12/1996,c,22.5
01/01/1998,a,30.2
01/01/1998,b,28
01/01/1998,c,26.05
01/01/1999,a,34.45
01/01/1999,b,31.9
01/01/1999,c,29.7
01/01/2000,a,37.9
01/01/2000,b,35.1
01/01/2000,c,32.7
01/01/2001,a,40.35
01/01/2001,b,37.95
01/01/2001,c,35.85
01/01/2002,a,42.15
01/01/2002,b,40.01
01/01/2002,c,38.3
01/01/2003,a,43.65
01/01/2003,b,41.85
01/01/2003,c,40.3
01/01/2004,a,45.24
01/01/2004,b,43.73
01/01/2004,c,42.11
01/01/2005,a,46.8
01/01/2005,b,45.35
01/01/2005,c,44.05
01/01/2006,a,48.67
01/01/2006,b,47.16
01/01/2006,c,45.81
01/01/2007,a,50.57
01/01/2007,b,49
01/01/2007,c,47.6
01/01/2008,a,52.59
01/01/2008,b,50.96
01/01/2008,c,49.5
01/01/2009,a,54.8
01/01/2009,b,53.26
01/01/2009,c,51.95
01/01/2010,a,57.46
01/01/2010,b,55.84
01/01/2010,c,54.47
01/01/2011,a,59.82
01/01/2011,b,58.13
01/01/2011,c,56.7
01/01/2012,a,62.33
01/01/2012,b,60.57
01/01/2012,c,59.08
27/11/2012,a,62.33
27/11/2012,b,59.08
01/01/2013,a,64.76
01/01/2013,b,61.38
01/01/2014,a,67.29
01/01/2014,b,63.77
01/01/2015,a,70.1
01/01/2015,b,66.45
01/04/2015,a,70.1
01/04/2015,b,68.28
01/10/2015,unica,70.1
01/01/2016,unica,73.04
01/01/2017,unica,80.04
01/12/2017,unica,88.36
01/01/2019,restodelpais,102.68
01/01/2019,zlfn,176.72
01/01/2020,restodelpais,123.22
01/01/2020,zlfn,185.56
01/01/2021,restodelpais,141.7
01/01/2021,zlfn,213.39
01/01/2022,restodelpais,172.87
01/01/2022,zlfn,260.34
01/01/2023,restodelpais,207.44
01/01/2023,zlfn,312.41
